timeslice,commodity,asset,year,technology,installed,month,day,hour,supply
0,electricity,352,2040,comCHPBiomass,2020,all-year,all-week,night,2.25380000000
0,electricity,352,2045,comCHPBiomass,2020,all-year,all-week,night,2.25380000000
0,electricity,353,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,353,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,354,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,355,2040,comCHPBiomass,2020,all-year,all-week,night,2.25350000000
0,electricity,355,2045,comCHPBiomass,2020,all-year,all-week,night,2.25350000000
0,electricity,356,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,356,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,357,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,358,2040,comCHPBiomass,2020,all-year,all-week,night,2.25640000000
0,electricity,358,2045,comCHPBiomass,2020,all-year,all-week,night,2.25640000000
0,electricity,359,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,359,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,360,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,361,2040,comCHPBiomass,2020,all-year,all-week,night,2.25610000000
0,electricity,361,2045,comCHPBiomass,2020,all-year,all-week,night,2.25610000000
0,electricity,362,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,362,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,363,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,364,2040,comCHPBiomass,2020,all-year,all-week,night,2.25400000000
0,electricity,364,2045,comCHPBiomass,2020,all-year,all-week,night,2.25400000000
0,electricity,365,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,365,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,366,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,367,2040,comCHPBiomass,2020,all-year,all-week,night,2.25470000000
0,electricity,367,2045,comCHPBiomass,2020,all-year,all-week,night,2.25470000000
0,electricity,368,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,368,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,369,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,370,2040,comCHPBiomass,2020,all-year,all-week,night,2.25410000000
0,electricity,370,2045,comCHPBiomass,2020,all-year,all-week,night,2.25410000000
0,electricity,371,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,371,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,372,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,373,2040,comCHPBiomass,2020,all-year,all-week,night,2.25340000000
0,electricity,373,2045,comCHPBiomass,2020,all-year,all-week,night,2.25340000000
0,electricity,374,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,374,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,375,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,376,2040,comCHPBiomass,2020,all-year,all-week,night,2.25620000000
0,electricity,376,2045,comCHPBiomass,2020,all-year,all-week,night,2.25620000000
0,electricity,377,2040,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,377,2045,comCHPBiomass,2030,all-year,all-week,night,2.25280000000
0,electricity,378,2045,comCHPBiomass,2040,all-year,all-week,night,2.25280000000
0,electricity,433,2040,comCHPNG,2020,all-year,all-week,night,2.25580000000
0,electricity,433,2045,comCHPNG,2020,all-year,all-week,night,2.25580000000
0,electricity,434,2040,comCHPNG,2030,all-year,all-week,night,2.25280000000
0,electricity,434,2045,comCHPNG,2030,all-year,all-week,night,2.25280000000
0,electricity,435,2045,comCHPNG,2040,all-year,all-week,night,2.25280000000
0,electricity,436,2040,comCHPNG,2020,all-year,all-week,night,2.25490000000
0,electricity,436,2045,comCHPNG,2020,all-year,all-week,night,2.25490000000
0,electricity,437,2040,comCHPNG,2030,all-year,all-week,night,2.25280000000
0,electricity,437,2045,comCHPNG,2030,all-year,all-week,night,2.25280000000
0,electricity,438,2045,comCHPNG,2040,all-year,all-week,night,2.25280000000
