ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,AvailabiliyYear,Type,Fuel,EndUse,InterestRate,Agent2,Agent1
resAppliancesCon,Central,2020,fixed,29.71845485,1,2.604155701,1,0,1,77.79807525,100,549.9234635,11,1,1,0.753690083,1,energy,electricity,appl,0.1,1,0
resBoilerBiomass,Central,2020,fixed,41.20036898,1,4.120036898,1,0,1,5.59837035,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerBiomass_solarT,Central,2020,fixed,48.43641548,1,4.843641548,1,0,1,4.47869628,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerElectric,Central,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerElectriciy_solarT,Central,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerNG,Central,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resBoilerNG_solarT,Central,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resCHPBiomass,Central,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,biomass,heating,0.1,1,0
resCHPNG,Central,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,gas,heating,0.1,1,0
resCookingBiomass,Central,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,100,30507.34637,14,1,1,0.45,1,energy,biomass,cook,0.1,1,0
resCookingCoal,Central,2020,fixed,2.275955536,1,0.34139333,1,0,1,367.0742454,100,30507.34637,14,1,1,0.4,1,energy,coal,cook,0.1,1,0
resCookingElec,Central,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,100,30507.34637,14,1,1,1.307298347,1,energy,electricity,cook,0.1,1,0
resCookingKerosene,Central,2020,fixed,5.120899957,1,0.128022499,1,0,1,59.092692,100,30507.34637,14,1,1,0.95,1,energy,kerosene,cook,0.1,1,0
resCookingNG,Central,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,100,30507.34637,14,1,1,0.957767695,1,energy,gas,cook,0.1,1,0
resDHBiomass,Central,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,100,130.8582883,25,0.9,1,0.9,0.15,energy,biomass,heating,0.1,1,0
resDHHeatPump,Central,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,100,130.8582883,25,0.9,1,0.9,0.15,energy,electricity,heating,0.1,1,0
resDHNG,Central,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,100,130.8582883,25,0.9,1,0.9,0.15,energy,gas,heating,0.1,1,0
resDHSolarWater,Central,2020,fixed,78.80481523,1,0.220587306,1,0,1,10,100,1101.969031,30,0.9,1,0.8,0.15,energy,solar,heating,0.1,1,0
resDHThermalStorage,Central,2020,fixed,1000000,1,0.005762546,1,0,1,10,100,130.8582883,30,0.9,1,0.99,0.15,energy,heat,heating,0.1,1,0
resDHWasteHeatOfftake,Central,2020,fixed,1000000,1,54229.24901,1,0,1,10,100,130.8582883,50,0.9,1,1,0.15,energy,heat,heating,0.1,1,0
resElectricNightStorage,Central,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,100,130.8582883,15,0.95,1,1,1,energy,electricity,heating,0.1,1,0
resASHeatPump,Central,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resASHeatPump_solarT,Central,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resGSHeatPump,Central,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resGSHeatPump_solarT,Central,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resLightingCon,Central,2020,fixed,0.239352546,1,2,1,0,1,126.601269,100,900.7569352,1,1,1,1,1,energy,electricity,light,0.1,1,0
resLightingEnergySaving,Central,2020,fixed,0.718057638,1,2,1,0,1,88.6208883,100,900.7569352,7,1,1,4,1,energy,electricity,light,0.1,1,0
resLightingLED,Central,2020,fixed,1.914820369,1,2,1,0,1,75.9607614,100,900.7569352,21,1,1,8.571428571,1,energy,electricity,light,0.1,1,0
resMicroCHPBiomass,Central,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,biomass,heating,0.1,1,0
resMicroCHPNG,Central,2020,fixed,15.96836692,1,0.798418346,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,gas,heating,0.1,1,0
resElectricResSA,Central,2020,fixed,4.558964074,1,0.455896407,1,0,1,15,100,130.8582883,15,0.95,1,0.9,1,energy,electricity,heating,0.1,1,0
resElectricResSA_storage,Central,2020,fixed,5.210244656,1,0.521024466,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,electricity,heating,0.1,1,0
resNGSA,Central,2020,fixed,10.62344577,1,1.062344577,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,gas,heating,0.1,1,0
resHWaterBiomass,Central,2020,fixed,10.02972096,1,1.002972096,1,0,1,24.34809518,100,1101.969031,15,0.95,1,0.5,1,energy,biomass,hwater,0.1,1,0
resHWaterElec,Central,2020,fixed,10.62344577,1,1.062344577,1,0,1,1.903577742,100,1101.969031,15,0.95,1,0.85,1,energy,electricity,hwater,0.1,1,0
resHWaterNG,Central,2020,fixed,4.558964074,1,0.455896407,1,0,1,28.77689615,100,1101.969031,15,0.95,1,0.8,1,energy,gas,hwater,0.1,1,0
resAC,Eastern,2020,fixed,8.975720478,1,0.448786024,1,0,1,54.45865269,100,243.7781554,15,1,1,0.555555556,1,energy,electricity,cool,0.1,1,0
resAppliancesAdv,Eastern,2020,fixed,30.60392092,1,7.577901609,1,0,1,54.45865269,100,549.9234635,11,1,1,0.841176768,1,energy,electricity,appl,0.1,1,0
resAppliancesCon,Eastern,2020,fixed,29.71845485,1,2.604155701,1,0,1,77.79807525,100,549.9234635,11,1,1,0.753690083,1,energy,electricity,appl,0.1,1,0
resBoilerBiomass,Eastern,2020,fixed,41.20036898,1,4.120036898,1,0,1,5.59837035,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerBiomass_solarT,Eastern,2020,fixed,48.43641548,1,4.843641548,1,0,1,4.47869628,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerElectric,Eastern,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerElectriciy_solarT,Eastern,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerNG,Eastern,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resBoilerNG_solarT,Eastern,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resCHPBiomass,Eastern,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,biomass,heating,0.1,1,0
resCHPNG,Eastern,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,gas,heating,0.1,1,0
resCookingBiomass,Eastern,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,100,30507.34637,14,1,1,0.45,1,energy,biomass,cook,0.1,1,0
resCookingCoal,Eastern,2020,fixed,2.275955536,1,0.34139333,1,0,1,367.0742454,100,30507.34637,14,1,1,0.4,1,energy,coal,cook,0.1,1,0
resCookingElec,Eastern,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,100,30507.34637,14,1,1,1.307298347,1,energy,electricity,cook,0.1,1,0
resCookingKerosene,Eastern,2020,fixed,5.120899957,1,0.128022499,1,0,1,59.092692,100,30507.34637,14,1,1,0.95,1,energy,kerosene,cook,0.1,1,0
resCookingNG,Eastern,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,100,30507.34637,14,1,1,0.957767695,1,energy,gas,cook,0.1,1,0
resDHBiomass,Eastern,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,100,130.8582883,25,0.9,1,0.9,0.15,energy,biomass,heating,0.1,1,0
resDHHeatPump,Eastern,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,100,130.8582883,25,0.9,1,0.9,0.15,energy,electricity,heating,0.1,1,0
resDHNG,Eastern,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,100,130.8582883,25,0.9,1,0.9,0.15,energy,gas,heating,0.1,1,0
resDHSolarWater,Eastern,2020,fixed,78.80481523,1,0.220587306,1,0,1,10,100,1101.969031,30,0.9,1,0.8,0.15,energy,solar,heating,0.1,1,0
resDHThermalStorage,Eastern,2020,fixed,1000000,1,0.005762546,1,0,1,10,100,130.8582883,30,0.9,1,0.99,0.15,energy,heat,heating,0.1,1,0
resDHWasteHeatOfftake,Eastern,2020,fixed,1000000,1,54229.24901,1,0,1,10,100,130.8582883,50,0.9,1,1,0.15,energy,heat,heating,0.1,1,0
resElectricNightStorage,Eastern,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,100,130.8582883,15,0.95,1,1,1,energy,electricity,heating,0.1,1,0
resASHeatPump,Eastern,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resASHeatPump_solarT,Eastern,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resGSHeatPump,Eastern,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resGSHeatPump_solarT,Eastern,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resLightingCon,Eastern,2020,fixed,0.239352546,1,2,1,0,1,126.601269,100,900.7569352,1,1,1,1,1,energy,electricity,light,0.1,1,0
resLightingEnergySaving,Eastern,2020,fixed,0.718057638,1,2,1,0,1,88.6208883,100,900.7569352,7,1,1,4,1,energy,electricity,light,0.1,1,0
resLightingLED,Eastern,2020,fixed,1.914820369,1,2,1,0,1,75.9607614,100,900.7569352,21,1,1,8.571428571,1,energy,electricity,light,0.1,1,0
resMicroCHPBiomass,Eastern,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,biomass,heating,0.1,1,0
resMicroCHPNG,Eastern,2020,fixed,15.96836692,1,0.798418346,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,gas,heating,0.1,1,0
resElectricResSA,Eastern,2020,fixed,4.558964074,1,0.455896407,1,0,1,15,100,130.8582883,15,0.95,1,0.9,1,energy,electricity,heating,0.1,1,0
resElectricResSA_storage,Eastern,2020,fixed,5.210244656,1,0.521024466,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,electricity,heating,0.1,1,0
resNGSA,Eastern,2020,fixed,10.62344577,1,1.062344577,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,gas,heating,0.1,1,0
resHWaterBiomass,Eastern,2020,fixed,10.02972096,1,1.002972096,1,0,1,24.34809518,100,1101.969031,15,0.95,1,0.5,1,energy,biomass,hwater,0.1,1,0
resHWaterElec,Eastern,2020,fixed,10.62344577,1,1.062344577,1,0,1,1.903577742,100,1101.969031,15,0.95,1,0.85,1,energy,electricity,hwater,0.1,1,0
resHWaterNG,Eastern,2020,fixed,4.558964074,1,0.455896407,1,0,1,28.77689615,100,1101.969031,15,0.95,1,0.8,1,energy,gas,hwater,0.1,1,0
resAC,Western,2020,fixed,8.975720478,1,0.448786024,1,0,1,54.45865269,100,243.7781554,15,1,1,0.555555556,1,energy,electricity,cool,0.1,1,0
resAppliancesAdv,Western,2020,fixed,30.60392092,1,7.577901609,1,0,1,54.45865269,100,549.9234635,11,1,1,0.841176768,1,energy,electricity,appl,0.1,1,0
resAppliancesCon,Western,2020,fixed,29.71845485,1,2.604155701,1,0,1,77.79807525,100,549.9234635,11,1,1,0.753690083,1,energy,electricity,appl,0.1,1,0
resBoilerBiomass,Western,2020,fixed,41.20036898,1,4.120036898,1,0,1,5.59837035,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerBiomass_solarT,Western,2020,fixed,48.43641548,1,4.843641548,1,0,1,4.47869628,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerElectric,Western,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerElectriciy_solarT,Western,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerNG,Western,2020,fixed,4.958037512,1,0.495803751,1,0,1,3.356974242,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resBoilerNG_solarT,Western,2020,fixed,13.01404627,1,1.301404627,1,0,1,58.30966074,100,130.8582883,15,0.95,1,0.84,1,energy,gas,heating,0.1,1,0
resCHPBiomass,Western,2020,fixed,29.4778833,1,1.324848687,1,0,1,5.970798768,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,biomass,heating,0.1,1,0
resCHPNG,Western,2020,fixed,23.3648397,1,0.928788659,1,0,1,23.97141915,100,130.8582883,25,0.845335431,1,0.8,0.35,energy,gas,heating,0.1,1,0
resCookingBiomass,Western,2020,fixed,2.275955536,1,0.170696665,1,0,1,865.64478,100,30507.34637,14,1,1,0.45,1,energy,biomass,cook,0.1,1,0
resCookingCoal,Western,2020,fixed,2.275955536,1,0.34139333,1,0,1,367.0742454,100,30507.34637,14,1,1,0.4,1,energy,coal,cook,0.1,1,0
resCookingElec,Western,2020,fixed,15.13255183,1,0.756627591,1,0,1,145.5624152,100,30507.34637,14,1,1,1.307298347,1,energy,electricity,cook,0.1,1,0
resCookingKerosene,Western,2020,fixed,5.120899957,1,0.128022499,1,0,1,59.092692,100,30507.34637,14,1,1,0.95,1,energy,kerosene,cook,0.1,1,0
resCookingNG,Western,2020,fixed,16.15014208,1,0.807507104,1,0,1,335.7399126,100,30507.34637,14,1,1,0.957767695,1,energy,gas,cook,0.1,1,0
resDHBiomass,Western,2020,fixed,33.91529837,1,0.16544048,1,0,1,2.640738195,100,130.8582883,25,0.9,1,0.9,0.15,energy,biomass,heating,0.1,1,0
resDHHeatPump,Western,2020,fixed,8.106583512,1,0.055146827,1,0,1,1.366175823,100,130.8582883,25,0.9,1,0.9,0.15,energy,electricity,heating,0.1,1,0
resDHNG,Western,2020,fixed,5.128654875,1,0.16544048,1,0,1,2.72778654,100,130.8582883,25,0.9,1,0.9,0.15,energy,gas,heating,0.1,1,0
resDHSolarWater,Western,2020,fixed,78.80481523,1,0.220587306,1,0,1,10,100,1101.969031,30,0.9,1,0.8,0.15,energy,solar,heating,0.1,1,0
resDHThermalStorage,Western,2020,fixed,1000000,1,0.005762546,1,0,1,10,100,130.8582883,30,0.9,1,0.99,0.15,energy,heat,heating,0.1,1,0
resDHWasteHeatOfftake,Western,2020,fixed,1000000,1,54229.24901,1,0,1,10,100,130.8582883,50,0.9,1,1,0.15,energy,heat,heating,0.1,1,0
resElectricNightStorage,Western,2020,fixed,0.00173911,1,0.00173911,1,0,1,15,100,130.8582883,15,0.95,1,1,1,energy,electricity,heating,0.1,1,0
resASHeatPump,Western,2020,fixed,53.86775792,1,2.693387896,1,0,1,1031.622923,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resASHeatPump_solarT,Western,2020,fixed,71.72623854,1,3.586311927,1,0,1,825.298338,100,130.8582883,20,0.95,1,2.51,1,energy,electricity,heating,0.1,1,0
resGSHeatPump,Western,2020,fixed,102.2569556,1,5.112847782,1,0,1,45.37043718,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resGSHeatPump_solarT,Western,2020,fixed,117.3021108,1,3.586311927,1,0,1,36.29634975,100,130.8582883,20,0.7,1,2.84,1,energy,electricity,heating,0.1,1,0
resLightingCon,Western,2020,fixed,0.239352546,1,2,1,0,1,126.601269,100,900.7569352,1,1,1,1,1,energy,electricity,light,0.1,1,0
resLightingEnergySaving,Western,2020,fixed,0.718057638,1,2,1,0,1,88.6208883,100,900.7569352,7,1,1,4,1,energy,electricity,light,0.1,1,0
resLightingLED,Western,2020,fixed,1.914820369,1,2,1,0,1,75.9607614,100,900.7569352,21,1,1,8.571428571,1,energy,electricity,light,0.1,1,0
resMicroCHPBiomass,Western,2020,fixed,42.58231178,1,2.129115589,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,biomass,heating,0.1,1,0
resMicroCHPNG,Western,2020,fixed,15.96836692,1,0.798418346,1,0,1,15,100,130.8582883,15,0.95,1,0.8,1,energy,gas,heating,0.1,1,0
resElectricResSA,Western,2020,fixed,4.558964074,1,0.455896407,1,0,1,15,100,130.8582883,15,0.95,1,0.9,1,energy,electricity,heating,0.1,1,0
resElectricResSA_storage,Western,2020,fixed,5.210244656,1,0.521024466,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,electricity,heating,0.1,1,0
resNGSA,Western,2020,fixed,10.62344577,1,1.062344577,1,0,1,15,100,130.8582883,15,0.95,1,0.7,1,energy,gas,heating,0.1,1,0
resHWaterBiomass,Western,2020,fixed,10.02972096,1,1.002972096,1,0,1,24.34809518,100,1101.969031,15,0.95,1,0.5,1,energy,biomass,hwater,0.1,1,0
resHWaterElec,Western,2020,fixed,10.62344577,1,1.062344577,1,0,1,1.903577742,100,1101.969031,15,0.95,1,0.85,1,energy,electricity,hwater,0.1,1,0
resHWaterNG,Western,2020,fixed,4.558964074,1,0.455896407,1,0,1,28.77689615,100,1101.969031,15,0.95,1,0.8,1,energy,gas,hwater,0.1,1,0
resAC,Northwest,2020,fixed,8.975720478,1,0.448786024,1,0,1,54.45865269,100,243.7781554,15,1,1,0.555555556,1,energy,electricity,cool,0.1,1,0
resAppliancesAdv,Northwest,2020,fixed,30.60392092,1,7.577901609,1,0,1,54.45865269,100,549.9234635,11,1,1,0.841176768,1,energy,electricity,appl,0.1,1,0
resAppliancesCon,Northwest,2020,fixed,29.71845485,1,2.604155701,1,0,1,77.79807525,100,549.9234635,11,1,1,0.753690083,1,energy,electricity,appl,0.1,1,0
resBoilerBiomass,Northwest,2020,fixed,41.20036898,1,4.120036898,1,0,1,5.59837035,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerBiomass_solarT,Northwest,2020,fixed,48.43641548,1,4.843641548,1,0,1,4.47869628,100,130.8582883,20,0.95,1,0.74,1,energy,biomass,heating,0.1,1,0
resBoilerElectric,Northwest,2020,fixed,3.80886809,1,0.380886809,1,0,1,1.115578134,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
resBoilerElectriciy_solarT,Northwest,2020,fixed,11.89087615,1,1.189087615,1,0,1,0.892462506,100,130.8582883,15,0.95,1,0.95,1,energy,electricity,heating,0.1,1,0
