RegionName,Attribute,Time,electricity,gas,heat,CO2f,wind,cook,biomass,water,uranium,sun,coal,diesel,e_demand
Unit,-,Year,PJ,PJ,PJ,kt,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ,PJ
Eastern,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2020,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2025,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2030,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2035,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2040,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2045,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2050,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2055,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2060,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2065,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2070,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2075,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2080,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2085,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2090,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2095,0,0,0,0,0,0,0,0,0,0,0,0,0
Western,Imports,2100,0,0,0,0,0,0,0,0,0,0,0,0,0
