asset,year,region,installed,technology,capacity
17,2050,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2051,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2052,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
17,2054,BajaCalif,2020,freightjet_kerosene,800535652.20000004768
18,2050,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2051,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2052,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2054,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2055,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
18,2064,BajaCalif,2020,freighttrain_addtrackelec,44345160000.00000000000
19,2050,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2051,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2052,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2054,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2055,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
19,2064,BajaCalif,2020,freighttrain_coal,44345160000.00000000000
20,2050,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2051,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2052,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2054,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2055,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
20,2064,BajaCalif,2020,freighttrain_diesel,22172580010.19499969482
21,2050,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2051,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2052,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2054,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2055,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
21,2064,BajaCalif,2020,freighttrain_electric,22172580000.11149978638
22,2050,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2051,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2052,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2054,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2055,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
22,2064,BajaCalif,2020,freighttrain_hydrogenfc,44345160000.00000000000
35,2050,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2051,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2052,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
35,2054,BajaCalif,2020,passengerjet_kerosene,5653372271.34409999847
36,2050,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2051,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2052,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2054,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2055,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
36,2064,BajaCalif,2020,passengertrain_addtrackelec,24677224620.00000000000
37,2050,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2051,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2052,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2054,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2055,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
37,2064,BajaCalif,2020,passengertrain_diesel,12338612310.77529907227
38,2050,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2051,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2052,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2054,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2055,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
38,2064,BajaCalif,2020,passengertrain_electric,24677224620.00000000000
39,2050,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
39,2051,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
39,2052,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
39,2054,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
39,2055,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
39,2064,BajaCalif,2020,passengertrain_hydrogenfc,24677224620.00000000000
40,2050,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
40,2051,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
40,2052,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
40,2054,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
40,2055,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
40,2064,BajaCalif,2020,shipping_heavyoil,22172580019.77890014648
41,2050,BajaCalif,2035,cars_battery,2240000000000.00000000000
41,2051,BajaCalif,2035,cars_battery,2240000000000.00000000000
42,2050,BajaCalif,2035,cars_cng,2240000000000.00000000000
42,2051,BajaCalif,2035,cars_cng,2240000000000.00000000000
43,2050,BajaCalif,2035,cars_diesel,2240000000000.00000000000
43,2051,BajaCalif,2035,cars_diesel,2240000000000.00000000000
44,2050,BajaCalif,2035,cars_flexiblefuel,2240000000000.00000000000
44,2051,BajaCalif,2035,cars_flexiblefuel,2240000000000.00000000000
45,2050,BajaCalif,2035,cars_hybriddiesel,2240000000000.00000000000
45,2051,BajaCalif,2035,cars_hybriddiesel,2240000000000.00000000000
46,2050,BajaCalif,2035,cars_hybridhydrogenfc,2240000000000.00000000000
46,2051,BajaCalif,2035,cars_hybridhydrogenfc,2240000000000.00000000000
47,2050,BajaCalif,2035,cars_hybridliquidhydrogen,2240000000000.00000000000
47,2051,BajaCalif,2035,cars_hybridliquidhydrogen,2240000000000.00000000000
48,2050,BajaCalif,2035,cars_hybridpetrol,2240000000000.00000000000
48,2051,BajaCalif,2035,cars_hybridpetrol,2240000000000.00000000000
49,2050,BajaCalif,2035,cars_hydrogenfc,2240000000000.00000000000
49,2051,BajaCalif,2035,cars_hydrogenfc,2240000000000.00000000000
50,2050,BajaCalif,2035,cars_lpg,2240000000000.00000000000
50,2051,BajaCalif,2035,cars_lpg,2240000000000.00000000000
51,2050,BajaCalif,2035,cars_petrol,2240000000000.00000000000
51,2051,BajaCalif,2035,cars_petrol,2240000000000.00000000000
52,2050,BajaCalif,2035,cars_pluginhybriddiesel,2240000000000.00000000000
52,2051,BajaCalif,2035,cars_pluginhybriddiesel,2240000000000.00000000000
53,2050,BajaCalif,2035,cars_pluginhybridhydrogenfc,2240000000000.00000000000
53,2051,BajaCalif,2035,cars_pluginhybridhydrogenfc,2240000000000.00000000000
54,2050,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2051,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2052,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2054,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2055,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2064,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2065,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2066,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2067,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
54,2069,BajaCalif,2035,freightjet_kerosene,800535652.20000004768
55,2050,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2051,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2052,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2054,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2055,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2064,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2065,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2066,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2067,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2069,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2070,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
55,2079,BajaCalif,2035,freighttrain_addtrackelec,44345160000.00000000000
56,2050,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2051,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2052,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2054,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2055,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2064,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2065,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2066,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2067,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2069,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2070,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
56,2079,BajaCalif,2035,freighttrain_coal,44345160000.00000000000
57,2050,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2051,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2052,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2054,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2055,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2064,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2065,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2066,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2067,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2069,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2070,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
57,2079,BajaCalif,2035,freighttrain_diesel,44345160000.00000000000
58,2050,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2051,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2052,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2054,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2055,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2064,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2065,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2066,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2067,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2069,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2070,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
58,2079,BajaCalif,2035,freighttrain_electric,44345160000.00000000000
59,2050,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2051,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2052,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2054,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2055,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2064,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2065,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2066,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2067,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2069,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2070,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
59,2079,BajaCalif,2035,freighttrain_hydrogenfc,44345160000.00000000000
60,2050,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2051,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2052,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2054,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2055,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2064,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2065,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2066,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2067,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
60,2069,BajaCalif,2035,passengerjet_kerosene,11306744498.00000000000
61,2050,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2051,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2052,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2054,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2055,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2064,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2065,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2066,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2067,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2069,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2070,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
61,2079,BajaCalif,2035,passengertrain_addtrackelec,12338612310.00000000000
62,2050,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2051,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2052,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2054,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2055,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2064,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2065,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2066,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2067,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2069,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2070,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
62,2079,BajaCalif,2035,passengertrain_diesel,19741779691.22460174561
63,2050,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2051,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2052,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2054,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2055,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2064,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2065,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2066,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2067,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2069,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2070,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
63,2079,BajaCalif,2035,passengertrain_electric,12338612310.00000000000
64,2050,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2051,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2052,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2054,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2055,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2064,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2065,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2066,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2067,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2069,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2070,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
64,2079,BajaCalif,2035,passengertrain_hydrogenfc,12338612310.00000000000
65,2050,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2051,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2052,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2054,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2055,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2064,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2065,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2066,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2067,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2069,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2070,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
65,2079,BajaCalif,2035,shipping_heavyoil,44345160000.00000000000
66,2055,BajaCalif,2050,cars_battery,1120000000000.00000000000
66,2064,BajaCalif,2050,cars_battery,1120000000000.00000000000
66,2065,BajaCalif,2050,cars_battery,1120000000000.00000000000
66,2066,BajaCalif,2050,cars_battery,1120000000000.00000000000
67,2055,BajaCalif,2050,cars_cng,1120000000000.00000000000
67,2064,BajaCalif,2050,cars_cng,1120000000000.00000000000
67,2065,BajaCalif,2050,cars_cng,1120000000000.00000000000
67,2066,BajaCalif,2050,cars_cng,1120000000000.00000000000
68,2055,BajaCalif,2050,cars_diesel,1120000000000.00000000000
68,2064,BajaCalif,2050,cars_diesel,1120000000000.00000000000
68,2065,BajaCalif,2050,cars_diesel,1120000000000.00000000000
68,2066,BajaCalif,2050,cars_diesel,1120000000000.00000000000
69,2055,BajaCalif,2050,cars_flexiblefuel,1120000000000.00000000000
69,2064,BajaCalif,2050,cars_flexiblefuel,1120000000000.00000000000
69,2065,BajaCalif,2050,cars_flexiblefuel,1120000000000.00000000000
69,2066,BajaCalif,2050,cars_flexiblefuel,1120000000000.00000000000
