asset,year,region,installed,technology,capacity
0,2040,R1,2020,gasCCGT,4.84130000000
0,2045,R1,2020,gasCCGT,4.84130000000
0,2049,R1,2020,gasCCGT,4.84130000000
0,2050,R1,2020,gasCCGT,4.84130000000
0,2059,R1,2020,gasCCGT,4.84130000000
1,2040,R1,2020,windturbine,14.05250000000
1,2045,R1,2020,windturbine,14.05250000000
1,2049,R1,2020,windturbine,14.05250000000
2,2040,R1,2025,gasCCGT,3.68240000000
2,2045,R1,2025,gasCCGT,3.68240000000
2,2049,R1,2025,gasCCGT,3.68240000000
2,2050,R1,2025,gasCCGT,3.68240000000
2,2059,R1,2025,gasCCGT,3.68240000000
2,2060,R1,2025,gasCCGT,3.68240000000
2,2064,R1,2025,gasCCGT,3.68240000000
3,2040,R1,2030,gasCCGT,0.37250000000
3,2045,R1,2030,gasCCGT,0.37250000000
3,2049,R1,2030,gasCCGT,0.37250000000
3,2050,R1,2030,gasCCGT,0.37250000000
3,2059,R1,2030,gasCCGT,0.37250000000
3,2060,R1,2030,gasCCGT,0.37250000000
3,2064,R1,2030,gasCCGT,0.37250000000
3,2065,R1,2030,gasCCGT,0.37250000000
3,2069,R1,2030,gasCCGT,0.37250000000
4,2040,R1,2030,windturbine,10.00000000000
4,2045,R1,2030,windturbine,10.00000000000
4,2049,R1,2030,windturbine,10.00000000000
4,2050,R1,2030,windturbine,10.00000000000
4,2059,R1,2030,windturbine,10.00000000000
5,2040,R1,2035,windturbine,7.23100000000
5,2045,R1,2035,windturbine,7.23100000000
5,2049,R1,2035,windturbine,7.23100000000
5,2050,R1,2035,windturbine,7.23100000000
5,2059,R1,2035,windturbine,7.23100000000
5,2060,R1,2035,windturbine,7.23100000000
5,2064,R1,2035,windturbine,7.23100000000
6,2045,R1,2040,gasCCGT,1.04350000000
6,2049,R1,2040,gasCCGT,1.04350000000
6,2050,R1,2040,gasCCGT,1.04350000000
6,2059,R1,2040,gasCCGT,1.04350000000
6,2060,R1,2040,gasCCGT,1.04350000000
6,2064,R1,2040,gasCCGT,1.04350000000
6,2065,R1,2040,gasCCGT,1.04350000000
6,2069,R1,2040,gasCCGT,1.04350000000
6,2070,R1,2040,gasCCGT,1.04350000000
6,2079,R1,2040,gasCCGT,1.04350000000
7,2045,R1,2040,windturbine,10.00000000000
7,2049,R1,2040,windturbine,10.00000000000
7,2050,R1,2040,windturbine,10.00000000000
7,2059,R1,2040,windturbine,10.00000000000
7,2060,R1,2040,windturbine,10.00000000000
7,2064,R1,2040,windturbine,10.00000000000
7,2065,R1,2040,windturbine,10.00000000000
7,2069,R1,2040,windturbine,10.00000000000
