timeslice,commodity,asset,year,installed,technology,month,day,hour,supply
0,appl_com,433,2040,2020,comAppliancesCon,all-year,all-week,night,0.03330000000
0,appl_com,433,2045,2020,comAppliancesCon,all-year,all-week,night,0.03330000000
0,appl_com,445,2040,2035,comAppliancesCon,all-year,all-week,night,14.95700000000
0,appl_com,445,2045,2035,comAppliancesCon,all-year,all-week,night,15.89180000000
1,light_com,5,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,5,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,6,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,6,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,7,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,7,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,48,2040,2035,comLightingFluorescent,all-year,all-week,morning,3.63870000000
1,light_com,48,2045,2035,comLightingFluorescent,all-year,all-week,morning,3.86610000000
1,light_com,49,2040,2035,comLightingLED,all-year,all-week,morning,3.63870000000
1,light_com,49,2045,2035,comLightingLED,all-year,all-week,morning,3.86610000000
1,light_com,50,2040,2035,comLightingOtherCCL,all-year,all-week,morning,3.63870000000
1,light_com,59,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,59,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,60,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,60,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,61,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,61,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,102,2040,2035,comLightingFluorescent,all-year,all-week,morning,1.38000000000
1,light_com,102,2045,2035,comLightingFluorescent,all-year,all-week,morning,1.46630000000
1,light_com,103,2040,2035,comLightingLED,all-year,all-week,morning,1.38000000000
1,light_com,103,2045,2035,comLightingLED,all-year,all-week,morning,1.46630000000
1,light_com,104,2040,2035,comLightingOtherCCL,all-year,all-week,morning,1.38000000000
1,light_com,113,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,113,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,114,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,114,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,115,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,115,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,156,2040,2035,comLightingFluorescent,all-year,all-week,morning,27.14430000000
1,light_com,156,2045,2035,comLightingFluorescent,all-year,all-week,morning,28.84080000000
1,light_com,157,2040,2035,comLightingLED,all-year,all-week,morning,27.14430000000
1,light_com,157,2045,2035,comLightingLED,all-year,all-week,morning,28.84080000000
1,light_com,158,2040,2035,comLightingOtherCCL,all-year,all-week,morning,27.14430000000
1,light_com,167,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,167,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,168,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,168,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,169,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,169,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,210,2040,2035,comLightingFluorescent,all-year,all-week,morning,23.78530000000
1,light_com,210,2045,2035,comLightingFluorescent,all-year,all-week,morning,25.27190000000
1,light_com,211,2040,2035,comLightingLED,all-year,all-week,morning,23.78530000000
1,light_com,211,2045,2035,comLightingLED,all-year,all-week,morning,25.27190000000
1,light_com,212,2040,2035,comLightingOtherCCL,all-year,all-week,morning,23.78530000000
1,light_com,221,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,221,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,222,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,222,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,223,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,223,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,264,2040,2035,comLightingFluorescent,all-year,all-week,morning,14.40710000000
1,light_com,264,2045,2035,comLightingFluorescent,all-year,all-week,morning,15.30760000000
1,light_com,265,2040,2035,comLightingLED,all-year,all-week,morning,14.40710000000
1,light_com,265,2045,2035,comLightingLED,all-year,all-week,morning,15.30760000000
1,light_com,266,2040,2035,comLightingOtherCCL,all-year,all-week,morning,14.40710000000
1,light_com,275,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,275,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,276,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,276,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,277,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,277,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,318,2040,2035,comLightingFluorescent,all-year,all-week,morning,7.85350000000
1,light_com,318,2045,2035,comLightingFluorescent,all-year,all-week,morning,8.34440000000
1,light_com,319,2040,2035,comLightingLED,all-year,all-week,morning,7.85350000000
1,light_com,319,2045,2035,comLightingLED,all-year,all-week,morning,8.34440000000
1,light_com,320,2040,2035,comLightingOtherCCL,all-year,all-week,morning,7.85350000000
1,light_com,329,2040,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,329,2045,2020,comLightingFluorescent,all-year,all-week,morning,0.03330000000
1,light_com,330,2040,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,330,2045,2020,comLightingLED,all-year,all-week,morning,0.03330000000
1,light_com,331,2040,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,331,2045,2020,comLightingOtherCCL,all-year,all-week,morning,0.03330000000
1,light_com,372,2040,2035,comLightingFluorescent,all-year,all-week,morning,3.07450000000
