timeslice,commodity,asset,year,units_prices,comm_usage,technology,installed,month,day,hour,supply
1,cars,16,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,morning,18.18060000000
1,cars,18,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,morning,2.66670000000
1,cars,18,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,morning,2.83330000000
1,cars,19,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,morning,28.44440000000
1,cars,20,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,morning,30.22220000000
1,cars,23,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,8.88890000000
1,cars,23,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,9.44440000000
1,cars,24,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,1.55560000000
1,cars,25,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,morning,1.65280000000
1,cars,26,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,27.77780000000
1,cars,27,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,morning,29.51390000000
1,cars,30,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,55.11110000000
1,cars,30,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,58.55560000000
1,cars,31,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,14.44440000000
1,cars,32,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,morning,15.34720000000
1,cars,35,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,67.11110000000
1,cars,35,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,71.30560000000
1,cars,36,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,17.11110000000
1,cars,37,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,morning,18.18060000000
1,cars,39,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,2.66670000000
1,cars,39,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,morning,2.83330000000
1,cars,40,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,morning,28.44440000000
1,cars,41,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,morning,30.22220000000
2,cars,2,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,8.88890000000
2,cars,2,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,9.44440000000
2,cars,3,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,afternoon,1.55560000000
2,cars,4,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,afternoon,1.65280000000
2,cars,5,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,afternoon,27.77780000000
2,cars,6,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,afternoon,29.51390000000
2,cars,9,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,55.11110000000
2,cars,9,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,58.55560000000
2,cars,10,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,afternoon,14.44440000000
2,cars,11,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,afternoon,15.34720000000
2,cars,14,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,67.11110000000
2,cars,14,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,71.30560000000
2,cars,15,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,afternoon,17.11110000000
2,cars,16,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,afternoon,18.18060000000
2,cars,18,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,2.66670000000
2,cars,18,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2035,all-year,all-week,afternoon,2.83330000000
2,cars,19,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2030,all-year,all-week,afternoon,28.44440000000
2,cars,20,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_gsl,2040,all-year,all-week,afternoon,30.22220000000
2,cars,23,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,8.88890000000
2,cars,23,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,9.44440000000
2,cars,24,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,afternoon,1.55560000000
2,cars,25,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,afternoon,1.65280000000
2,cars,26,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,afternoon,27.77780000000
2,cars,27,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,afternoon,29.51390000000
2,cars,30,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,55.11110000000
2,cars,30,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,58.55560000000
2,cars,31,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,afternoon,14.44440000000
2,cars,32,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,afternoon,15.34720000000
2,cars,35,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,67.11110000000
2,cars,35,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,71.30560000000
2,cars,36,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2030,all-year,all-week,afternoon,17.11110000000
2,cars,37,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2040,all-year,all-week,afternoon,18.18060000000
2,cars,39,2040,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,2.66670000000
2,cars,39,2045,MUS$2010/PJ,CommodityUsage.PRODUCT,cars_hyd,2035,all-year,all-week,afternoon,2.83330000000
