timeslice,commodity,asset,year,dst_region,technology,installed,month,day,hour,supply
2,electricity,58,2025,Western,PV_GND,2020,all-year,all-week,afternoon,0.78920000000
2,electricity,58,2030,Western,PV_GND,2020,all-year,all-week,afternoon,0.59190000000
2,electricity,59,2025,Western,WIND_ON,2020,all-year,all-week,afternoon,1.62410000000
2,electricity,59,2030,Western,WIND_ON,2020,all-year,all-week,afternoon,1.21810000000
3,electricity,0,2025,BajaCalif,GAS_GT,2020,all-year,all-week,early-peak,15.95800000000
3,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,early-peak,11.96850000000
3,electricity,1,2025,BajaCalif,GEOTH,2020,all-year,all-week,early-peak,3.83160000000
3,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,early-peak,2.87370000000
3,electricity,2,2025,BajaCalif,OIL,2020,all-year,all-week,early-peak,0.01260000000
3,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,early-peak,0.00950000000
3,electricity,3,2025,BajaCalif,PV_GND,2020,all-year,all-week,early-peak,0.00720000000
3,electricity,3,2030,BajaCalif,PV_GND,2020,all-year,all-week,early-peak,0.00540000000
3,electricity,4,2025,BajaCalif,WIND_ON,2020,all-year,all-week,early-peak,0.01580000000
3,electricity,4,2030,BajaCalif,WIND_ON,2020,all-year,all-week,early-peak,0.01180000000
3,electricity,5,2025,BajaCalifSouth,GAS_GT,2020,all-year,all-week,early-peak,0.80180000000
3,electricity,5,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,early-peak,0.60140000000
3,electricity,6,2025,BajaCalifSouth,OIL,2020,all-year,all-week,early-peak,2.99590000000
3,electricity,6,2030,BajaCalifSouth,OIL,2020,all-year,all-week,early-peak,2.24690000000
3,electricity,7,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,early-peak,0.08510000000
3,electricity,7,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,early-peak,0.06380000000
3,electricity,9,2025,BajaCalifSouth,WIND_ON,2020,all-year,all-week,early-peak,0.07880000000
3,electricity,9,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,early-peak,0.05910000000
3,electricity,10,2025,Central,BIO,2020,all-year,all-week,early-peak,0.00390000000
3,electricity,10,2030,Central,BIO,2020,all-year,all-week,early-peak,0.00300000000
3,electricity,11,2025,Central,GAS_GT,2020,all-year,all-week,early-peak,29.63830000000
3,electricity,11,2025,Eastern,GAS_GT,2020,all-year,all-week,early-peak,8.03080000000
3,electricity,11,2025,Western,GAS_GT,2020,all-year,all-week,early-peak,9.60030000000
3,electricity,11,2030,Central,GAS_GT,2020,all-year,all-week,early-peak,22.22870000000
3,electricity,11,2030,Eastern,GAS_GT,2020,all-year,all-week,early-peak,6.02310000000
3,electricity,11,2030,Western,GAS_GT,2020,all-year,all-week,early-peak,7.20030000000
3,electricity,13,2025,Central,HYD,2020,all-year,all-week,early-peak,0.57470000000
3,electricity,13,2030,Central,HYD,2020,all-year,all-week,early-peak,0.43110000000
3,electricity,14,2025,Central,OIL,2020,all-year,all-week,early-peak,0.87040000000
3,electricity,14,2030,Central,OIL,2020,all-year,all-week,early-peak,0.65280000000
3,electricity,15,2025,Central,PV_GND,2020,all-year,all-week,early-peak,0.02150000000
3,electricity,15,2030,Central,PV_GND,2020,all-year,all-week,early-peak,0.01610000000
3,electricity,16,2025,Eastern,BIO,2020,all-year,all-week,early-peak,0.65040000000
3,electricity,16,2030,Eastern,BIO,2020,all-year,all-week,early-peak,0.48780000000
3,electricity,17,2025,Eastern,GAS_GT,2020,all-year,all-week,early-peak,32.12320000000
3,electricity,17,2025,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,6.27610000000
3,electricity,17,2030,Eastern,GAS_GT,2020,all-year,all-week,early-peak,24.09240000000
3,electricity,17,2030,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,4.70700000000
3,electricity,18,2025,Eastern,HYD,2020,all-year,all-week,early-peak,47.47670000000
3,electricity,18,2030,Eastern,HYD,2020,all-year,all-week,early-peak,35.60750000000
3,electricity,19,2025,Eastern,NUCL,2020,all-year,all-week,early-peak,11.49490000000
3,electricity,19,2030,Eastern,NUCL,2020,all-year,all-week,early-peak,8.62120000000
3,electricity,20,2025,Eastern,OIL,2020,all-year,all-week,early-peak,1.84170000000
3,electricity,20,2030,Eastern,OIL,2020,all-year,all-week,early-peak,1.38130000000
3,electricity,21,2025,Eastern,WIND_ON,2020,all-year,all-week,early-peak,4.36460000000
3,electricity,21,2030,Eastern,WIND_ON,2020,all-year,all-week,early-peak,3.27340000000
3,electricity,23,2025,North,BIO,2020,all-year,all-week,early-peak,0.03550000000
3,electricity,23,2030,North,BIO,2020,all-year,all-week,early-peak,0.02660000000
3,electricity,24,2025,North,GAS_GT,2020,all-year,all-week,early-peak,31.03620000000
3,electricity,24,2030,North,GAS_GT,2020,all-year,all-week,early-peak,23.27710000000
3,electricity,25,2025,North,HYD,2020,all-year,all-week,early-peak,0.19870000000
3,electricity,25,2030,North,HYD,2020,all-year,all-week,early-peak,0.14900000000
3,electricity,27,2025,North,OIL,2020,all-year,all-week,early-peak,0.72530000000
3,electricity,27,2030,North,OIL,2020,all-year,all-week,early-peak,0.54400000000
3,electricity,28,2025,North,PV_GND,2020,all-year,all-week,early-peak,1.16330000000
3,electricity,28,2030,North,PV_GND,2020,all-year,all-week,early-peak,0.87250000000
3,electricity,29,2025,Northeast,BIO,2020,all-year,all-week,early-peak,0.07490000000
3,electricity,29,2030,Northeast,BIO,2020,all-year,all-week,early-peak,0.05620000000
3,electricity,30,2025,Northeast,COAL,2020,all-year,all-week,early-peak,7.28480000000
3,electricity,30,2030,Northeast,COAL,2020,all-year,all-week,early-peak,5.46360000000
3,electricity,31,2025,Northeast,GAS_GT,2020,all-year,all-week,early-peak,101.88570000000
3,electricity,31,2030,Northeast,GAS_GT,2020,all-year,all-week,early-peak,76.41430000000
3,electricity,33,2025,Northeast,HYD,2020,all-year,all-week,early-peak,0.83730000000
3,electricity,33,2030,Northeast,HYD,2020,all-year,all-week,early-peak,0.62800000000
3,electricity,35,2025,Northeast,OIL,2020,all-year,all-week,early-peak,1.41280000000
3,electricity,35,2030,Northeast,OIL,2020,all-year,all-week,early-peak,1.05960000000
3,electricity,36,2025,Northeast,PV_GND,2020,all-year,all-week,early-peak,0.47560000000
3,electricity,36,2030,Northeast,PV_GND,2020,all-year,all-week,early-peak,0.35670000000
3,electricity,37,2025,Northeast,WIND_ON,2020,all-year,all-week,early-peak,3.97670000000
3,electricity,37,2030,Northeast,WIND_ON,2020,all-year,all-week,early-peak,2.98250000000
3,electricity,39,2025,Northwest,GAS_GT,2020,all-year,all-week,early-peak,33.14500000000
3,electricity,39,2025,North,GAS_GT,2020,all-year,all-week,early-peak,9.31080000000
3,electricity,39,2030,Northwest,GAS_GT,2020,all-year,all-week,early-peak,24.85870000000
3,electricity,39,2030,North,GAS_GT,2020,all-year,all-week,early-peak,6.98310000000
3,electricity,40,2025,Northwest,HYD,2020,all-year,all-week,early-peak,6.81180000000
3,electricity,40,2030,Northwest,HYD,2020,all-year,all-week,early-peak,5.10880000000
3,electricity,41,2025,Northwest,OIL,2020,all-year,all-week,early-peak,0.35320000000
3,electricity,41,2030,Northwest,OIL,2020,all-year,all-week,early-peak,0.26490000000
3,electricity,42,2025,Northwest,PV_GND,2020,all-year,all-week,early-peak,0.46740000000
3,electricity,42,2030,Northwest,PV_GND,2020,all-year,all-week,early-peak,0.35050000000
3,electricity,43,2025,Northwest,WIND_ON,2020,all-year,all-week,early-peak,0.00320000000
3,electricity,43,2030,Northwest,WIND_ON,2020,all-year,all-week,early-peak,0.00240000000
3,electricity,44,2025,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,6.27610000000
3,electricity,44,2030,Peninsular,GAS_GT,2020,all-year,all-week,early-peak,4.70700000000
3,electricity,45,2025,Peninsular,OIL,2020,all-year,all-week,early-peak,0.10090000000
3,electricity,45,2030,Peninsular,OIL,2020,all-year,all-week,early-peak,0.07570000000
3,electricity,46,2025,Peninsular,PV_GND,2020,all-year,all-week,early-peak,0.71330000000
3,electricity,46,2030,Peninsular,PV_GND,2020,all-year,all-week,early-peak,0.53500000000
3,electricity,47,2025,Peninsular,PV_RFT,2020,all-year,all-week,early-peak,0.00610000000
3,electricity,47,2030,Peninsular,PV_RFT,2020,all-year,all-week,early-peak,0.00460000000
3,electricity,48,2025,Peninsular,WIND_ON,2020,all-year,all-week,early-peak,0.40370000000
3,electricity,48,2030,Peninsular,WIND_ON,2020,all-year,all-week,early-peak,0.30270000000
3,electricity,49,2025,Western,BIO,2020,all-year,all-week,early-peak,0.15770000000
3,electricity,49,2030,Western,BIO,2020,all-year,all-week,early-peak,0.11830000000
3,electricity,51,2025,Western,COAL,2020,all-year,all-week,early-peak,18.48800000000
3,electricity,51,2030,Western,COAL,2020,all-year,all-week,early-peak,13.86600000000
3,electricity,53,2025,Western,GAS_GT,2020,all-year,all-week,early-peak,38.40140000000
3,electricity,53,2025,Northwest,GAS_GT,2020,all-year,all-week,early-peak,8.28620000000
3,electricity,53,2030,Western,GAS_GT,2020,all-year,all-week,early-peak,28.80100000000
3,electricity,53,2030,Northwest,GAS_GT,2020,all-year,all-week,early-peak,6.21470000000
3,electricity,55,2025,Western,GEOTH,2020,all-year,all-week,early-peak,2.23510000000
3,electricity,55,2030,Western,GEOTH,2020,all-year,all-week,early-peak,1.67630000000
3,electricity,56,2025,Western,HYD,2020,all-year,all-week,early-peak,34.86070000000
3,electricity,56,2030,Western,HYD,2020,all-year,all-week,early-peak,26.14550000000
3,electricity,57,2025,Western,OIL,2020,all-year,all-week,early-peak,5.20970000000
3,electricity,57,2030,Western,OIL,2020,all-year,all-week,early-peak,3.90730000000
3,electricity,58,2025,Western,PV_GND,2020,all-year,all-week,early-peak,0.78920000000
3,electricity,58,2030,Western,PV_GND,2020,all-year,all-week,early-peak,0.59190000000
3,electricity,59,2025,Western,WIND_ON,2020,all-year,all-week,early-peak,1.62410000000
3,electricity,59,2030,Western,WIND_ON,2020,all-year,all-week,early-peak,1.21810000000
4,electricity,0,2025,BajaCalif,GAS_GT,2020,all-year,all-week,late-peak,15.95800000000
4,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,late-peak,11.96850000000
4,electricity,1,2025,BajaCalif,GEOTH,2020,all-year,all-week,late-peak,3.83160000000
4,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,late-peak,2.87370000000
4,electricity,2,2025,BajaCalif,OIL,2020,all-year,all-week,late-peak,0.01260000000
4,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,late-peak,0.00950000000
4,electricity,3,2025,BajaCalif,PV_GND,2020,all-year,all-week,late-peak,0.00720000000
4,electricity,3,2030,BajaCalif,PV_GND,2020,all-year,all-week,late-peak,0.00540000000
4,electricity,4,2025,BajaCalif,WIND_ON,2020,all-year,all-week,late-peak,0.01580000000
4,electricity,4,2030,BajaCalif,WIND_ON,2020,all-year,all-week,late-peak,0.01180000000
4,electricity,5,2025,BajaCalifSouth,GAS_GT,2020,all-year,all-week,late-peak,0.80180000000
4,electricity,5,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,late-peak,0.60140000000
4,electricity,6,2025,BajaCalifSouth,OIL,2020,all-year,all-week,late-peak,2.99590000000
4,electricity,6,2030,BajaCalifSouth,OIL,2020,all-year,all-week,late-peak,2.24690000000
4,electricity,7,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,late-peak,0.08510000000
4,electricity,7,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,late-peak,0.06380000000
4,electricity,9,2025,BajaCalifSouth,WIND_ON,2020,all-year,all-week,late-peak,0.07880000000
4,electricity,9,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,late-peak,0.05910000000
4,electricity,10,2025,Central,BIO,2020,all-year,all-week,late-peak,0.00390000000
4,electricity,10,2030,Central,BIO,2020,all-year,all-week,late-peak,0.00300000000
4,electricity,11,2025,Central,GAS_GT,2020,all-year,all-week,late-peak,29.63830000000
4,electricity,11,2025,Eastern,GAS_GT,2020,all-year,all-week,late-peak,8.03080000000
4,electricity,11,2025,Western,GAS_GT,2020,all-year,all-week,late-peak,9.60030000000
4,electricity,11,2030,Central,GAS_GT,2020,all-year,all-week,late-peak,22.22870000000
4,electricity,11,2030,Eastern,GAS_GT,2020,all-year,all-week,late-peak,6.02310000000
4,electricity,11,2030,Western,GAS_GT,2020,all-year,all-week,late-peak,7.20030000000
4,electricity,13,2025,Central,HYD,2020,all-year,all-week,late-peak,0.57470000000
4,electricity,13,2030,Central,HYD,2020,all-year,all-week,late-peak,0.43110000000
4,electricity,14,2025,Central,OIL,2020,all-year,all-week,late-peak,0.87040000000
4,electricity,14,2030,Central,OIL,2020,all-year,all-week,late-peak,0.65280000000
4,electricity,15,2025,Central,PV_GND,2020,all-year,all-week,late-peak,0.02150000000
4,electricity,15,2030,Central,PV_GND,2020,all-year,all-week,late-peak,0.01610000000
4,electricity,16,2025,Eastern,BIO,2020,all-year,all-week,late-peak,0.65040000000
4,electricity,16,2030,Eastern,BIO,2020,all-year,all-week,late-peak,0.48780000000
4,electricity,17,2025,Eastern,GAS_GT,2020,all-year,all-week,late-peak,32.12320000000
4,electricity,17,2025,Peninsular,GAS_GT,2020,all-year,all-week,late-peak,6.27610000000
4,electricity,17,2030,Eastern,GAS_GT,2020,all-year,all-week,late-peak,24.09240000000
4,electricity,17,2030,Peninsular,GAS_GT,2020,all-year,all-week,late-peak,4.70700000000
4,electricity,18,2025,Eastern,HYD,2020,all-year,all-week,late-peak,47.47670000000
4,electricity,18,2030,Eastern,HYD,2020,all-year,all-week,late-peak,35.60750000000
4,electricity,19,2025,Eastern,NUCL,2020,all-year,all-week,late-peak,11.49490000000
4,electricity,19,2030,Eastern,NUCL,2020,all-year,all-week,late-peak,8.62120000000
4,electricity,20,2025,Eastern,OIL,2020,all-year,all-week,late-peak,1.84170000000
4,electricity,20,2030,Eastern,OIL,2020,all-year,all-week,late-peak,1.38130000000
4,electricity,21,2025,Eastern,WIND_ON,2020,all-year,all-week,late-peak,4.36460000000
4,electricity,21,2030,Eastern,WIND_ON,2020,all-year,all-week,late-peak,3.27340000000
4,electricity,23,2025,North,BIO,2020,all-year,all-week,late-peak,0.03550000000
4,electricity,23,2030,North,BIO,2020,all-year,all-week,late-peak,0.02660000000
4,electricity,24,2025,North,GAS_GT,2020,all-year,all-week,late-peak,31.03620000000
4,electricity,24,2030,North,GAS_GT,2020,all-year,all-week,late-peak,23.27710000000
4,electricity,25,2025,North,HYD,2020,all-year,all-week,late-peak,0.19870000000
4,electricity,25,2030,North,HYD,2020,all-year,all-week,late-peak,0.14900000000
4,electricity,27,2025,North,OIL,2020,all-year,all-week,late-peak,0.72530000000
4,electricity,27,2030,North,OIL,2020,all-year,all-week,late-peak,0.54400000000
4,electricity,28,2025,North,PV_GND,2020,all-year,all-week,late-peak,1.16330000000
4,electricity,28,2030,North,PV_GND,2020,all-year,all-week,late-peak,0.87250000000
4,electricity,29,2025,Northeast,BIO,2020,all-year,all-week,late-peak,0.07490000000
4,electricity,29,2030,Northeast,BIO,2020,all-year,all-week,late-peak,0.05620000000
4,electricity,30,2025,Northeast,COAL,2020,all-year,all-week,late-peak,7.28480000000
4,electricity,30,2030,Northeast,COAL,2020,all-year,all-week,late-peak,5.46360000000
4,electricity,31,2025,Northeast,GAS_GT,2020,all-year,all-week,late-peak,101.88570000000
4,electricity,31,2030,Northeast,GAS_GT,2020,all-year,all-week,late-peak,76.41430000000
4,electricity,33,2025,Northeast,HYD,2020,all-year,all-week,late-peak,0.83730000000
4,electricity,33,2030,Northeast,HYD,2020,all-year,all-week,late-peak,0.62800000000
4,electricity,35,2025,Northeast,OIL,2020,all-year,all-week,late-peak,1.41280000000
4,electricity,35,2030,Northeast,OIL,2020,all-year,all-week,late-peak,1.05960000000
4,electricity,36,2025,Northeast,PV_GND,2020,all-year,all-week,late-peak,0.47560000000
4,electricity,36,2030,Northeast,PV_GND,2020,all-year,all-week,late-peak,0.35670000000
4,electricity,37,2025,Northeast,WIND_ON,2020,all-year,all-week,late-peak,3.97670000000
4,electricity,37,2030,Northeast,WIND_ON,2020,all-year,all-week,late-peak,2.98250000000
4,electricity,39,2025,Northwest,GAS_GT,2020,all-year,all-week,late-peak,33.14500000000
4,electricity,39,2025,North,GAS_GT,2020,all-year,all-week,late-peak,9.31080000000
4,electricity,39,2030,Northwest,GAS_GT,2020,all-year,all-week,late-peak,24.85870000000
4,electricity,39,2030,North,GAS_GT,2020,all-year,all-week,late-peak,6.98310000000
4,electricity,40,2025,Northwest,HYD,2020,all-year,all-week,late-peak,6.81180000000
4,electricity,40,2030,Northwest,HYD,2020,all-year,all-week,late-peak,5.10880000000
4,electricity,41,2025,Northwest,OIL,2020,all-year,all-week,late-peak,0.35320000000
4,electricity,41,2030,Northwest,OIL,2020,all-year,all-week,late-peak,0.26490000000
4,electricity,42,2025,Northwest,PV_GND,2020,all-year,all-week,late-peak,0.46740000000
4,electricity,42,2030,Northwest,PV_GND,2020,all-year,all-week,late-peak,0.35050000000
4,electricity,43,2025,Northwest,WIND_ON,2020,all-year,all-week,late-peak,0.00320000000
4,electricity,43,2030,Northwest,WIND_ON,2020,all-year,all-week,late-peak,0.00240000000
4,electricity,44,2025,Peninsular,GAS_GT,2020,all-year,all-week,late-peak,6.27610000000
4,electricity,44,2030,Peninsular,GAS_GT,2020,all-year,all-week,late-peak,4.70700000000
4,electricity,45,2025,Peninsular,OIL,2020,all-year,all-week,late-peak,0.10090000000
4,electricity,45,2030,Peninsular,OIL,2020,all-year,all-week,late-peak,0.07570000000
4,electricity,46,2025,Peninsular,PV_GND,2020,all-year,all-week,late-peak,0.71330000000
4,electricity,46,2030,Peninsular,PV_GND,2020,all-year,all-week,late-peak,0.53500000000
4,electricity,47,2025,Peninsular,PV_RFT,2020,all-year,all-week,late-peak,0.00610000000
4,electricity,47,2030,Peninsular,PV_RFT,2020,all-year,all-week,late-peak,0.00460000000
4,electricity,48,2025,Peninsular,WIND_ON,2020,all-year,all-week,late-peak,0.40370000000
4,electricity,48,2030,Peninsular,WIND_ON,2020,all-year,all-week,late-peak,0.30270000000
4,electricity,49,2025,Western,BIO,2020,all-year,all-week,late-peak,0.15770000000
4,electricity,49,2030,Western,BIO,2020,all-year,all-week,late-peak,0.11830000000
4,electricity,51,2025,Western,COAL,2020,all-year,all-week,late-peak,18.48800000000
4,electricity,51,2030,Western,COAL,2020,all-year,all-week,late-peak,13.86600000000
4,electricity,53,2025,Western,GAS_GT,2020,all-year,all-week,late-peak,38.40140000000
4,electricity,53,2025,Northwest,GAS_GT,2020,all-year,all-week,late-peak,8.28620000000
4,electricity,53,2030,Western,GAS_GT,2020,all-year,all-week,late-peak,28.80100000000
4,electricity,53,2030,Northwest,GAS_GT,2020,all-year,all-week,late-peak,6.21470000000
4,electricity,55,2025,Western,GEOTH,2020,all-year,all-week,late-peak,2.23510000000
4,electricity,55,2030,Western,GEOTH,2020,all-year,all-week,late-peak,1.67630000000
4,electricity,56,2025,Western,HYD,2020,all-year,all-week,late-peak,34.86070000000
4,electricity,56,2030,Western,HYD,2020,all-year,all-week,late-peak,26.14550000000
4,electricity,57,2025,Western,OIL,2020,all-year,all-week,late-peak,5.20970000000
4,electricity,57,2030,Western,OIL,2020,all-year,all-week,late-peak,3.90730000000
4,electricity,58,2025,Western,PV_GND,2020,all-year,all-week,late-peak,0.78920000000
4,electricity,58,2030,Western,PV_GND,2020,all-year,all-week,late-peak,0.59190000000
4,electricity,59,2025,Western,WIND_ON,2020,all-year,all-week,late-peak,1.62410000000
4,electricity,59,2030,Western,WIND_ON,2020,all-year,all-week,late-peak,1.21810000000
5,electricity,0,2025,BajaCalif,GAS_GT,2020,all-year,all-week,evening,15.95800000000
5,electricity,0,2030,BajaCalif,GAS_GT,2020,all-year,all-week,evening,11.96850000000
5,electricity,1,2025,BajaCalif,GEOTH,2020,all-year,all-week,evening,3.83160000000
5,electricity,1,2030,BajaCalif,GEOTH,2020,all-year,all-week,evening,2.87370000000
5,electricity,2,2025,BajaCalif,OIL,2020,all-year,all-week,evening,0.01260000000
5,electricity,2,2030,BajaCalif,OIL,2020,all-year,all-week,evening,0.00950000000
5,electricity,3,2025,BajaCalif,PV_GND,2020,all-year,all-week,evening,0.00720000000
5,electricity,3,2030,BajaCalif,PV_GND,2020,all-year,all-week,evening,0.00540000000
5,electricity,4,2025,BajaCalif,WIND_ON,2020,all-year,all-week,evening,0.01580000000
5,electricity,4,2030,BajaCalif,WIND_ON,2020,all-year,all-week,evening,0.01180000000
5,electricity,5,2025,BajaCalifSouth,GAS_GT,2020,all-year,all-week,evening,0.80180000000
5,electricity,5,2030,BajaCalifSouth,GAS_GT,2020,all-year,all-week,evening,0.60140000000
5,electricity,6,2025,BajaCalifSouth,OIL,2020,all-year,all-week,evening,2.99590000000
5,electricity,6,2030,BajaCalifSouth,OIL,2020,all-year,all-week,evening,2.24690000000
5,electricity,7,2025,BajaCalifSouth,PV_GND,2020,all-year,all-week,evening,0.08510000000
5,electricity,7,2030,BajaCalifSouth,PV_GND,2020,all-year,all-week,evening,0.06380000000
5,electricity,9,2025,BajaCalifSouth,WIND_ON,2020,all-year,all-week,evening,0.07880000000
5,electricity,9,2030,BajaCalifSouth,WIND_ON,2020,all-year,all-week,evening,0.05910000000
5,electricity,10,2025,Central,BIO,2020,all-year,all-week,evening,0.00390000000
5,electricity,10,2030,Central,BIO,2020,all-year,all-week,evening,0.00300000000
5,electricity,11,2025,Central,GAS_GT,2020,all-year,all-week,evening,29.63830000000
5,electricity,11,2025,Eastern,GAS_GT,2020,all-year,all-week,evening,8.03080000000
5,electricity,11,2025,Western,GAS_GT,2020,all-year,all-week,evening,9.60030000000
5,electricity,11,2030,Central,GAS_GT,2020,all-year,all-week,evening,22.22870000000
5,electricity,11,2030,Eastern,GAS_GT,2020,all-year,all-week,evening,6.02310000000
5,electricity,11,2030,Western,GAS_GT,2020,all-year,all-week,evening,7.20030000000
5,electricity,13,2025,Central,HYD,2020,all-year,all-week,evening,0.57470000000
5,electricity,13,2030,Central,HYD,2020,all-year,all-week,evening,0.43110000000
5,electricity,14,2025,Central,OIL,2020,all-year,all-week,evening,0.87040000000
5,electricity,14,2030,Central,OIL,2020,all-year,all-week,evening,0.65280000000
5,electricity,15,2025,Central,PV_GND,2020,all-year,all-week,evening,0.02150000000
5,electricity,15,2030,Central,PV_GND,2020,all-year,all-week,evening,0.01610000000
5,electricity,16,2025,Eastern,BIO,2020,all-year,all-week,evening,0.65040000000
5,electricity,16,2030,Eastern,BIO,2020,all-year,all-week,evening,0.48780000000
5,electricity,17,2025,Eastern,GAS_GT,2020,all-year,all-week,evening,32.12320000000
5,electricity,17,2025,Peninsular,GAS_GT,2020,all-year,all-week,evening,6.27610000000
5,electricity,17,2030,Eastern,GAS_GT,2020,all-year,all-week,evening,24.09240000000
5,electricity,17,2030,Peninsular,GAS_GT,2020,all-year,all-week,evening,4.70700000000
5,electricity,18,2025,Eastern,HYD,2020,all-year,all-week,evening,47.47670000000
5,electricity,18,2030,Eastern,HYD,2020,all-year,all-week,evening,35.60750000000
5,electricity,19,2025,Eastern,NUCL,2020,all-year,all-week,evening,11.49490000000
5,electricity,19,2030,Eastern,NUCL,2020,all-year,all-week,evening,8.62120000000
5,electricity,20,2025,Eastern,OIL,2020,all-year,all-week,evening,1.84170000000
5,electricity,20,2030,Eastern,OIL,2020,all-year,all-week,evening,1.38130000000
5,electricity,21,2025,Eastern,WIND_ON,2020,all-year,all-week,evening,4.36460000000
5,electricity,21,2030,Eastern,WIND_ON,2020,all-year,all-week,evening,3.27340000000
5,electricity,23,2025,North,BIO,2020,all-year,all-week,evening,0.03550000000
5,electricity,23,2030,North,BIO,2020,all-year,all-week,evening,0.02660000000
5,electricity,24,2025,North,GAS_GT,2020,all-year,all-week,evening,31.03620000000
5,electricity,24,2030,North,GAS_GT,2020,all-year,all-week,evening,23.27710000000
5,electricity,25,2025,North,HYD,2020,all-year,all-week,evening,0.19870000000
5,electricity,25,2030,North,HYD,2020,all-year,all-week,evening,0.14900000000
5,electricity,27,2025,North,OIL,2020,all-year,all-week,evening,0.72530000000
5,electricity,27,2030,North,OIL,2020,all-year,all-week,evening,0.54400000000
5,electricity,28,2025,North,PV_GND,2020,all-year,all-week,evening,1.16330000000
5,electricity,28,2030,North,PV_GND,2020,all-year,all-week,evening,0.87250000000
5,electricity,29,2025,Northeast,BIO,2020,all-year,all-week,evening,0.07490000000
5,electricity,29,2030,Northeast,BIO,2020,all-year,all-week,evening,0.05620000000
5,electricity,30,2025,Northeast,COAL,2020,all-year,all-week,evening,7.28480000000
5,electricity,30,2030,Northeast,COAL,2020,all-year,all-week,evening,5.46360000000
5,electricity,31,2025,Northeast,GAS_GT,2020,all-year,all-week,evening,101.88570000000
5,electricity,31,2030,Northeast,GAS_GT,2020,all-year,all-week,evening,76.41430000000
5,electricity,33,2025,Northeast,HYD,2020,all-year,all-week,evening,0.83730000000
5,electricity,33,2030,Northeast,HYD,2020,all-year,all-week,evening,0.62800000000
5,electricity,35,2025,Northeast,OIL,2020,all-year,all-week,evening,1.41280000000
5,electricity,35,2030,Northeast,OIL,2020,all-year,all-week,evening,1.05960000000
5,electricity,36,2025,Northeast,PV_GND,2020,all-year,all-week,evening,0.47560000000
5,electricity,36,2030,Northeast,PV_GND,2020,all-year,all-week,evening,0.35670000000
5,electricity,37,2025,Northeast,WIND_ON,2020,all-year,all-week,evening,3.97670000000
5,electricity,37,2030,Northeast,WIND_ON,2020,all-year,all-week,evening,2.98250000000
5,electricity,39,2025,Northwest,GAS_GT,2020,all-year,all-week,evening,33.14500000000
5,electricity,39,2025,North,GAS_GT,2020,all-year,all-week,evening,9.31080000000
5,electricity,39,2030,Northwest,GAS_GT,2020,all-year,all-week,evening,24.85870000000
5,electricity,39,2030,North,GAS_GT,2020,all-year,all-week,evening,6.98310000000
5,electricity,40,2025,Northwest,HYD,2020,all-year,all-week,evening,6.81180000000
5,electricity,40,2030,Northwest,HYD,2020,all-year,all-week,evening,5.10880000000
5,electricity,41,2025,Northwest,OIL,2020,all-year,all-week,evening,0.35320000000
5,electricity,41,2030,Northwest,OIL,2020,all-year,all-week,evening,0.26490000000
5,electricity,42,2025,Northwest,PV_GND,2020,all-year,all-week,evening,0.46740000000
5,electricity,42,2030,Northwest,PV_GND,2020,all-year,all-week,evening,0.35050000000
5,electricity,43,2025,Northwest,WIND_ON,2020,all-year,all-week,evening,0.00320000000
5,electricity,43,2030,Northwest,WIND_ON,2020,all-year,all-week,evening,0.00240000000
5,electricity,44,2025,Peninsular,GAS_GT,2020,all-year,all-week,evening,6.27610000000
5,electricity,44,2030,Peninsular,GAS_GT,2020,all-year,all-week,evening,4.70700000000
5,electricity,45,2025,Peninsular,OIL,2020,all-year,all-week,evening,0.10090000000
5,electricity,45,2030,Peninsular,OIL,2020,all-year,all-week,evening,0.07570000000
5,electricity,46,2025,Peninsular,PV_GND,2020,all-year,all-week,evening,0.71330000000
5,electricity,46,2030,Peninsular,PV_GND,2020,all-year,all-week,evening,0.53500000000
5,electricity,47,2025,Peninsular,PV_RFT,2020,all-year,all-week,evening,0.00610000000
5,electricity,47,2030,Peninsular,PV_RFT,2020,all-year,all-week,evening,0.00460000000
5,electricity,48,2025,Peninsular,WIND_ON,2020,all-year,all-week,evening,0.40370000000
5,electricity,48,2030,Peninsular,WIND_ON,2020,all-year,all-week,evening,0.30270000000
5,electricity,49,2025,Western,BIO,2020,all-year,all-week,evening,0.15770000000
5,electricity,49,2030,Western,BIO,2020,all-year,all-week,evening,0.11830000000
